[2026-01-09 15:04:11] [PID:9202] [INFO] [Master] main.c:142 (main) - Starting Master Process (PID=9202)
[2026-01-09 15:04:13] [PID:9455] [INFO] [CommClient] Communication_Client.c:125 (main) - Connecting to 130.125.13.149:5050
[2026-01-09 15:04:13] [PID:9453] [INFO] [Drone] process_Drone.c:161 (main) - Starting Drone Process (PID=9453)
[2026-01-09 15:04:13] [PID:9453] [WARNING] [Drone] process_Drone.c:192 (main) - Running in Client/Server mode, watchdog monitoring disabled.

[2026-01-09 15:04:14] [PID:9471] [INFO] [Input] process_In.c:54 (main) - Starting Input Process (PID=9471)
[2026-01-09 15:04:14] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:183 (main) - Starting BlackBoard Process (PID=9472)
[2026-01-09 15:04:15] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:15] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:15] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:15] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:15] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:15] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:15] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:15] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:15] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:15] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:15] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:15] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:15] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:15] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:16] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:17] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:17] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:17] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:17] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:17] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:17] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:17] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:17] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:17] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:17] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:17] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:17] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
[2026-01-09 15:04:17] [PID:9472] [INFO] [BlackBoard] BlackBoard.c:421 (main) - Received drone coordinates
